,cts,industry
2022-06-10,267134.97885608353,1023785.9379480667
2022-06-11,252000.7958958399,1015653.4986504853
2022-06-12,281919.4780417803,1012741.873390351
2022-06-13,339505.06786824035,1023785.9379480667
2022-06-14,363412.4499766261,1023785.9379480667
2022-06-15,396911.6097738928,1023785.9379480667
2022-06-16,379812.0469800885,1015896.5710003844
2022-06-17,363686.3025120137,1023785.9379480667
2022-06-18,361059.93618254724,1015653.4986504853
2022-06-19,465925.66839095793,1012741.873390351
2022-06-20,553640.9026101234,1023785.9379480667
2022-06-21,556152.5876608355,1023785.9379480667
2022-06-22,458638.24411033944,1023785.9379480667
2022-06-23,368661.67354331486,1023785.9379480667
2022-06-24,308382.3694511559,1023785.9379480667
2022-06-25,273829.7604593478,1015653.4986504853
2022-06-26,276111.90157872,1012741.873390351
2022-06-27,269433.27003683354,1023785.9379480667
2022-06-28,261738.77051950153,1023785.9379480667
2022-06-29,252617.9365964152,1023785.9379480667
2022-06-30,257252.17829204453,1023785.9379480667
2022-07-01,252241.84968650743,1023785.9379480667
2022-07-02,231189.0803855611,1015653.4986504853
2022-07-03,229467.8771555704,1012741.873390351
2022-07-04,234047.36845546437,1023785.9379480667
2022-07-05,251293.30261535788,1023785.9379480667
2022-07-06,273645.617592993,1023785.9379480667
2022-07-07,283241.4874270593,1023785.9379480667
2022-07-08,261988.2396683032,1023785.9379480667
2022-07-09,233109.4535047987,1015653.4986504853
2022-07-10,226767.1443881233,1012741.873390351
2022-07-11,224844.1858153976,1023785.9379480667
2022-07-12,233629.4417800052,1023785.9379480667
2022-07-13,239084.07437389635,1023785.9379480667
2022-07-14,239986.9473541397,1023785.9379480667
2022-07-15,245895.839509568,1023785.9379480667
2022-07-16,232785.8006985552,1015653.4986504853
2022-07-17,242982.2034128563,1012741.873390351
2022-07-18,259919.86514725396,1023785.9379480667
2022-07-19,264945.4459977757,1023785.9379480667
2022-07-20,256547.044450908,1023785.9379480667
2022-07-21,247398.5170798994,1023785.9379480667
2022-07-22,249873.5180564397,1023785.9379480667
2022-07-23,250957.1738664019,1015653.4986504853
2022-07-24,281197.555455465,1012741.873390351
2022-07-25,312564.32377286826,1023785.9379480667
2022-07-26,325798.10771742923,1023785.9379480667
2022-07-27,314579.0782651675,1023785.9379480667
2022-07-28,312158.88963673805,1023785.9379480667
2022-07-29,324520.953167332,1023785.9379480667
2022-07-30,307440.6011500099,1015653.4986504853
2022-07-31,289871.2464282276,1012741.873390351
2022-08-01,270734.1482353386,1023785.9379480667
2022-08-02,279050.29228207277,1023785.9379480667
2022-08-03,292772.2204066504,1023785.9379480667
2022-08-04,301662.51359840145,1023785.9379480667
2022-08-05,312037.72526966553,1023785.9379480667
2022-08-06,305816.4197664013,1015653.4986504853
2022-08-07,294162.49023915495,1012741.873390351
2022-08-08,297589.90302945493,1023785.9379480667
2022-08-09,300478.7663177279,1023785.9379480667
2022-08-10,280251.4337592233,1023785.9379480667
2022-08-11,280594.6294587576,1023785.9379480667
2022-08-12,289125.6403581319,1023785.9379480667
2022-08-13,278645.70631419943,1015653.4986504853
2022-08-14,286061.7630594789,1012741.873390351
2022-08-15,302336.6797466188,1023547.504942165
2022-08-16,333140.75175605534,1023785.9379480667
2022-08-17,346493.425918449,1023785.9379480667
2022-08-18,346907.9467379296,1023785.9379480667
2022-08-19,338197.05022652535,1023785.9379480667
2022-08-20,284313.7814000972,1015653.4986504853
2022-08-21,258099.95814738478,1012741.873390351
2022-08-22,250525.7711715092,1023785.9379480667
2022-08-23,262148.9583996584,1023785.9379480667
2022-08-24,280201.3303240587,1023785.9379480667
2022-08-25,311708.2040566915,1023785.9379480667
2022-08-26,311551.6145141666,1023785.9379480667
2022-08-27,308984.0739323124,1015653.4986504853
2022-08-28,363788.7291113664,1012741.873390351
2022-08-29,449296.5304498502,1023785.9379480667
2022-08-30,565514.8636965641,1023785.9379480667
2022-08-31,565574.4137564878,1023785.9379480667
2022-09-01,543270.4063562838,1023785.9379480667
2022-09-02,491486.21740059875,1023785.9379480667
2022-09-03,411285.2201451441,1015653.4986504853
2022-09-04,423445.571257643,1012741.873390351
2022-09-05,474228.40261712583,1023785.9379480667
2022-09-06,510239.386132825,1023785.9379480667
2022-09-07,525568.9953056512,1023785.9379480667
2022-09-08,479255.26258765813,1023785.9379480667
2022-09-09,450399.67608445114,1023785.9379480667
2022-09-10,376613.99002168444,1015653.4986504853
2022-09-11,334213.3043452636,1012741.873390351
2022-09-12,330352.2856813022,1023785.9379480667
2022-09-13,380818.35738188337,1023785.9379480667
2022-09-14,400303.16203125834,1023785.9379480667
2022-09-15,427248.1741393142,1023785.9379480667
2022-09-16,495165.7692301615,1023785.9379480667
2022-09-17,513281.67365927063,1015653.4986504853
2022-09-18,612504.3617972981,1012741.873390351
2022-09-19,674710.6752208676,1023785.9379480667
2022-09-20,575636.5838452724,1023408.1242274612
2022-09-21,469089.5632341076,1023785.9379480667
2022-09-22,407367.9549262321,1023785.9379480667
2022-09-23,343471.2563942508,1023785.9379480667
2022-09-24,323644.3413879827,1015653.4986504853
2022-09-25,440650.39307504107,1012741.873390351
2022-09-26,643445.369769998,1023785.9379480667
2022-09-27,742331.3854159538,1023785.9379480667
2022-09-28,782838.3260104202,1023785.9379480667
2022-09-29,803421.1472965644,1023785.9379480667
2022-09-30,817055.3461558918,1023785.9379480667
2022-10-01,735006.2045204181,1015653.4986504853
2022-10-02,671411.1638108494,1012741.873390351
2022-10-03,513124.3484818922,1012741.873390351
2022-10-04,496910.3741682777,1023785.9379480667
2022-10-05,455117.66328326927,1023785.9379480667
2022-10-06,413879.2604221861,1023785.9379480667
2022-10-07,415170.5870296375,1023785.9379480667
2022-10-08,426246.6750402599,1015653.4986504853
2022-10-09,547727.9374034331,1012741.873390351
2022-10-10,744061.9923870342,1023785.9379480667
2022-10-11,897384.5850086285,1023785.9379480667
2022-10-12,1014442.3605609591,1023785.9379480667
2022-10-13,1112063.9063346235,1023785.9379480667
2022-10-14,1103125.9578736038,1023785.9379480667
2022-10-15,922884.2682630039,1015653.4986504853
2022-10-16,1008239.4520427373,1012741.873390351
2022-10-17,1172417.7701240934,1023785.9379480667
2022-10-18,1274003.8758206589,1023785.9379480667
2022-10-19,1245257.4653484018,1023785.9379480667
2022-10-20,1277556.380482873,1023785.9379480667
2022-10-21,1370470.4525696563,1023785.9379480667
2022-10-22,1254346.705927952,1015653.4986504853
2022-10-23,1233071.0511947484,1012741.873390351
2022-10-24,1216949.5721428066,1023785.9379480667
2022-10-25,1328422.424950344,1023785.9379480667
2022-10-26,1355923.9493519964,1023785.9379480667
2022-10-27,1293638.9862202925,1023785.9379480667
2022-10-28,1138480.8778362265,1023785.9379480667
2022-10-29,919723.1923165312,1015653.4986504853
2022-10-30,793342.4321163669,1012741.873390351
2022-10-31,821996.7028323801,1020766.755980619
2022-11-01,818657.0630733989,1016607.4841937303
2022-11-02,888274.094930045,1023785.9379480667
2022-11-03,805888.2040875833,1023785.9379480667
2022-11-04,610739.9592615874,1023785.9379480667
2022-11-05,508944.0132612684,1015653.4986504853
2022-11-06,640573.5631908665,1012741.873390351
2022-11-07,976857.9399814842,1023785.9379480667
2022-11-08,1309472.7694284401,1023785.9379480667
2022-11-09,1382868.0124622092,1023785.9379480667
2022-11-10,1366951.8353788762,1023785.9379480667
2022-11-11,1382364.2484676177,1023785.9379480667
2022-11-12,1002291.3468660631,1015653.4986504853
2022-11-13,784777.7069712497,1012741.873390351
2022-11-14,686400.9957635854,1023785.9379480667
2022-11-15,831167.8501976524,1023785.9379480667
2022-11-16,1107584.2770417917,1023154.9600770483
2022-11-17,1346841.9631369577,1023785.9379480667
2022-11-18,1403625.6186789367,1023785.9379480667
2022-11-19,1253987.207233329,1015653.4986504853
2022-11-20,1278559.465747662,1012741.873390351
2022-11-21,1456270.159302245,1023785.9379480667
2022-11-22,1527847.1436513436,1023785.9379480667
2022-11-23,1603098.1864156958,1023785.9379480667
2022-11-24,1725403.747398814,1023785.9379480667
2022-11-25,1824056.7299313915,1023785.9379480667
2022-11-26,1774369.122143603,1015653.4986504853
2022-11-27,1936540.5784600996,1012741.873390351
2022-11-28,2157110.773042388,1023785.9379480667
2022-11-29,2188942.797885569,1023785.9379480667
2022-11-30,2268211.2862474127,1023785.9379480667
2022-12-01,2496718.397027321,1023785.9379480667
2022-12-02,2563202.523425997,1023785.9379480667
2022-12-03,2339372.711043819,1015653.4986504853
2022-12-04,2342612.4769882425,1012741.873390351
2022-12-05,2284333.568174677,1023785.9379480667
2022-12-06,2169955.475446091,1023785.9379480667
2022-12-07,2104710.3654184975,1023785.9379480667
2022-12-08,2061940.6970932977,1023785.9379480667
2022-12-09,2067351.4197436362,1023785.9379480667
2022-12-10,1892062.6765055757,1015653.4986504853
2022-12-11,1729097.3948434964,1012741.873390351
2022-12-12,1860007.9451917901,1023785.9379480667
2022-12-13,2146511.954863262,1023785.9379480667
2022-12-14,2259922.7403923124,1023785.9379480667
2022-12-15,2397856.695884499,1023785.9379480667
2022-12-16,2413722.9372566803,1023785.9379480667
2022-12-17,2199708.2542018117,1015653.4986504853
2022-12-18,2321637.0647192467,1012741.873390351
2022-12-19,2441265.9421701916,1023785.9379480667
2022-12-20,2395675.9503114773,1023785.9379480667
2022-12-21,2301263.673883637,1023785.9379480667
2022-12-22,2189256.8567641806,1023785.9379480667
2022-12-23,2072655.171655054,1023785.9379480667
2022-12-24,1952313.7922999922,1015653.4986504853
2022-12-25,2232273.616909758,1012741.873390351
2022-12-26,2332812.211795463,1012741.873390351
2022-12-27,2453775.1610074486,1023785.9379480667
2022-12-28,2430678.705573165,1023785.9379480667
2022-12-29,2478903.718512705,1023785.9379480667
2022-12-30,2457189.7477024943,1023785.9379480667
2022-12-31,2071801.470636139,1015653.4986504853
