,industry,cts,nuts3
204,503564.641087845,619250.566267831,DE132
205,258949.29478111057,461913.08791339013,DE133
206,2741650.927150858,1392965.7599753083,DE134
207,559434.6784525928,468633.1171089043,DE135
208,532380.2814522829,784061.6757839243,DE136
209,620581.0257170164,389584.18846169655,DE137
210,608079.339845044,1227428.5832400587,DE138
211,682210.8914046368,1076881.5283402451,DE139
212,437069.6786535049,682459.6172104424,DE13A
213,660789.0457165437,680823.989966298,DE141
214,253562.26293729822,1043115.501211472,DE142
215,435851.04606282123,525882.7149447185,DE143
216,362191.2461652687,854289.7850783775,DE144
217,1080422.7281331231,326009.9451538572,DE145
218,671744.1801033993,1112034.8978244236,DE146
219,534005.4332569458,805489.9512234173,DE147
220,659952.637977393,825916.7493086873,DE148
221,318258.91657005326,297465.5424272939,DE149
222,638765.3852070847,552259.0294002737,DE211
223,1148753.856748234,14009749.643035041,DE212
224,66274.16852520735,490032.27896306565,DE213
225,4806886.523443848,346689.36166154797,DE214
226,191390.30733509376,326944.8998221186,DE215
227,129206.38126281902,322634.97917103657,DE216
228,96730.55211305243,581395.9009220026,DE217
229,102594.10036776937,240665.72218441096,DE218
230,459114.1138215171,331917.12317005364,DE219
231,115410.27262628888,581818.7262227301,DE21A
232,268216.3810641154,709250.479771274,DE21B
233,90301.5000977525,473603.95850980247,DE21C
234,45216.46125608826,463636.85742320854,DE21D
235,307459.9789975884,312160.0137703291,DE21E
236,154823.3210739931,300319.889236384,DE21F
237,293980.8995653606,460416.37567262514,DE21G
238,470910.67356604367,1627072.8565638056,DE21H
239,293075.09682225296,263417.5797893596,DE21I
240,492131.7926208216,758553.3262491407,DE21J
241,758540.8322077538,700100.7337856613,DE21K
242,133493.4598765967,260737.39578916033,DE21L
243,1001433.1736954858,535994.3483389326,DE21M
244,1481073.8749413432,501718.29166216374,DE21N
245,105942.39512780604,1050511.8672099835,DE221
246,136396.6372967224,357369.7328791872,DE222
247,147099.9867538413,423107.157370945,DE223
248,1665659.2379406302,409054.5745770547,DE224
249,131798.5361904826,191256.18360962998,DE225
250,727689.7120378513,226864.5453499234,DE226
251,196205.8607291026,1231629.5374722383,DE227
252,1005479.8134061346,482288.0788909376,DE228
253,211892.268490199,252765.96541917694,DE229
254,133518.61195009027,418512.0854908366,DE22A
255,220388.4866324913,135629.9180875088,DE22B
256,642931.0945925292,234954.5030497138,DE22C
257,200534.14376975174,460647.4818294941,DE231
258,710469.6781015535,1688690.671656831,DE232
259,90145.84434835514,186720.21740092686,DE233
260,273643.07940857223,130312.44783818885,DE234
261,289533.1207397339,291378.3242928156,DE235
262,286536.79866687465,588770.5908118468,DE236
263,272505.10991039686,218466.3403346918,DE237
264,193129.2094794112,283152.91476187133,DE238
265,739674.998546851,598078.6802696513,DE239
266,295759.59936505876,140430.8496133494,DE23A
267,315727.1448216778,882074.5421490937,DE241
268,165755.88562296823,1202854.948412594,DE242
269,136035.31201599818,572544.7339288148,DE243
270,123395.05443789494,184613.058131444,DE244
271,253435.0421000017,232213.86668966018,DE245
272,121671.72585956684,108408.8275056543,DE246
273,222555.13003892062,316734.8874965183,DE247
274,195954.42623006474,323196.7925161012,DE248
275,385019.98003553104,325472.89295015327,DE249
276,402846.3006030378,168265.27907132573,DE24A
277,165692.74191957302,124560.41179796749,DE24B
278,186983.7258267507,115939.0948621824,DE24C
279,288060.2943874118,274513.25130300317,DE24D
