,industry,cts,nuts3
207,401160.54166936467,381633.03187412507,DE135
208,403176.85025744006,610906.3386681136,DE136
209,451080.9495677841,388569.7695014071,DE137
210,3273979.395567668,889287.4010810611,DE138
211,899692.6014968383,629362.8630614884,DE139
212,367830.0816798521,517233.39348944684,DE13A
213,523969.8997625792,828476.1956848161,DE141
214,109936.74145659758,525076.5664186585,DE142
215,622196.6541159644,487814.50792912656,DE143
216,292391.02769028745,786068.1093088777,DE144
217,1781142.0930057017,490014.35816280893,DE145
218,613057.9723300947,637320.6351631916,DE146
219,432074.32375806884,817662.0367108289,DE147
220,789919.112663528,924689.6632140409,DE148
221,245742.68203882556,395025.592743498,DE149
222,523310.85742877214,531236.9058394593,DE211
223,3782328.7537842025,6305875.413152863,DE212
224,31865.568226900974,285080.8530373714,DE213
225,30233580.4915232,345374.0861838841,DE214
226,178119.44762250275,364544.3706094623,DE215
227,56672.36125225178,466591.41567306104,DE216
228,394691.0645382777,437959.2605651829,DE217
229,38299.06669730877,484602.55675094126,DE218
230,12335098.386743575,346558.52379705635,DE219
231,44108.43585112139,653667.6901186666,DE21A
232,293122.83801702654,8627847.57503404,DE21B
233,41156.924565092646,524922.3103693534,DE21C
234,21669.687008579567,289594.3441562399,DE21D
235,230327.55922269038,315876.67497723404,DE21E
236,62232.08485195645,493174.0976819641,DE21F
237,315062.97065299936,339385.25176635006,DE21G
238,362439.2494596304,1929270.955230473,DE21H
239,435523.0558177988,378989.24132132216,DE21I
240,12163242.732847689,506104.2155170005,DE21J
241,1266839.2779814245,805475.340942798,DE21K
242,65600.75412230431,633949.4461368229,DE21L
243,3217781.6273928992,550332.9961538094,DE21M
244,970009.961989282,361996.12968485523,DE21N
245,36057.66080070482,285705.75634905184,DE221
246,41680.93938384709,406561.28731011046,DE222
247,123615.16683582864,274157.35837024596,DE223
248,1663427.2694163828,498324.3765896287,DE224
249,173122.93494470895,229391.4318978973,DE225
250,17781344.452135764,596219.2645001976,DE226
251,217433.96673675344,510042.08735355147,DE227
252,596622.4663354001,551341.0768218102,DE228
253,208480.6925095784,223420.504188912,DE229
254,817989.7298854485,372014.1312789766,DE22A
255,201482.9361684565,263596.2683110137,DE22B
256,615048.3543563612,375751.3976214566,DE22C
257,152620.99939663577,166617.36957083544,DE231
258,554463.5551606906,1023111.7686651963,DE232
259,39732.90459592654,200709.17180008467,DE233
260,331766.96677277365,362383.8392893884,DE234
261,243590.94890234218,446506.2383303051,DE235
262,432713.60525039735,525667.3920047074,DE236
263,413692.3922096971,231388.81032135227,DE237
264,190896.16489444114,517795.443551548,DE238
265,826564.6215680231,460894.9117137959,DE239
266,381546.54649343505,209352.91769851834,DE23A
267,217938.75349650063,627876.1580330317,DE241
268,47016.54217300841,360043.7027653356,DE242
269,41639.52299769021,210926.88779611498,DE243
270,31605.685223156128,205268.55727330953,DE244
271,292463.0561717952,373245.7682125378,DE245
272,53242.776970140694,232910.71855997495,DE246
273,191861.36142952435,218510.7446666218,DE247
274,195646.679514212,278885.6324411385,DE248
275,334274.1261084217,290538.2877593308,DE249
276,2186509.0292983474,164991.1184820301,DE24A
277,214640.00974294086,208674.44641576233,DE24B
278,604737.6138717682,231407.7250796843,DE24C
279,358054.8029939589,164905.91157819904,DE24D
280,37722.56940790124,171292.16784496495,DE251
281,155326.1199941774,411963.70681572525,DE252
282,70995.39511404389,343548.5218220806,DE253
283,3278399.431373499,3189718.7983816834,DE254
284,33152.11355666321,95552.1891695811,DE255
285,433332.92916164454,557837.6939907805,DE256
286,221975.9362129807,308317.9202226496,DE257
287,45949.55795874148,202021.22701916198,DE258
288,389006.8006593503,400469.2251280534,DE259
289,285242.77746391215,296461.6556920775,DE25A
290,75323.0075122712,354124.2512413056,DE25B
291,373973.0811347063,252096.06644005017,DE25C
292,557637.3682294299,506310.0015202902,DE261
293,524226.05958977406,296629.35560618073,DE262
294,58405.44834121147,764537.8552026987,DE263
295,1141345.7465503258,491565.0290380306,DE264
296,48403.412664711985,381048.5315516332,DE265
297,156803.1448085102,248987.1799310942,DE266
