Statistik;Gebiet;Tabelle;Rechenstand;Merkmal_1;Merkmal_2;Einheit;Jahr;Wert
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Biodiesel;TJ;2015;31796.524
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Erdgas;TJ;2015;2126.074
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Flüssiggas (Autogas);TJ;2015;21063.662
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Biogas (Biomethan);TJ;2015;358.029
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Strom;TJ;2015;105.894
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Energieverbrauch der Inländer insgesamt;TJ;2015;1444703.12
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Benzin;TJ;2015;803541.16
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Bioethanol;TJ;2015;35891.299
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Diesel;TJ;2015;1271165.938
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Biodiesel;TJ;2015;69532.893
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Erdgas;TJ;2015;4835.059
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Flüssiggas (Autogas);TJ;2015;22017.132
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Biogas (Biomethan);TJ;2015;806.845
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Strom;TJ;2015;342.787
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Energieverbrauch der Inländer insgesamt;TJ;2015;2208133.112
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Benzin;TJ;2016;31154.216
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Bioethanol;TJ;2016;1393.451
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Diesel;TJ;2016;700313.785
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Biodiesel;TJ;2016;37126.697
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Erdgas;TJ;2016;2352.468
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Flüssiggas (Autogas);TJ;2016;847.93
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Biogas (Biomethan);TJ;2016;540.063
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Strom;TJ;2016;307.554
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Energieverbrauch der Inländer insgesamt;TJ;2016;774036.163
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Benzin;TJ;2016;762473.096
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Bioethanol;TJ;2016;34108.339
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Diesel;TJ;2016;601250.94
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Biodiesel;TJ;2016;31875.25
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Erdgas;TJ;2016;1979.943
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Flüssiggas (Autogas);TJ;2016;19884.887
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Biogas (Biomethan);TJ;2016;464.952
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Strom;TJ;2016;162.219
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Energieverbrauch der Inländer insgesamt;TJ;2016;1452199.624
